News#   Title                                                                                                    Word                          Frequency Polarity 
4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 down                          1         Neutral
4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 march                         1         Neutral
4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 3                             1         Neutral
4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 billion                       2         Neutral
4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 1.2                           1         Neutral
4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 and                           1         Neutral
4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 of                            1         Neutral
4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 selling                       1         Neutral
4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 bills                         1         Neutral
4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 to                            1         Neutral
4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 12.8                          1         Neutral
4       U.S. SELLING 12.8 BILLION DLRS OF 3 AND 6-MO BILLS MARCH 30 TO PAY DOWN 1.2 BILLION DLRS                 30                            1         Neutral

5       U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT                     pct                           1         Neutral
5       U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT                     u.s.                          1         Neutral
5       U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT                     note                          1         Neutral
5       U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT                     average                       1         Neutral
5       U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT                     6.44                          1         Neutral
5       U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT                     awarded                       1         Positive
5       U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT                     6.43                          1         Positive
5       U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT                     high                          1         Positive
5       U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT                     at                            1         Positive
5       U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT                     stop                          1         Positive
5       U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT                     yield                         2         Positive
5       U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT                     2-year                        1         Positive
5       U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT                     85                            1         Positive
5       U.S. 2-YEAR NOTE AVERAGE YIELD 6.43 PCT, STOP 6.44 PCT, AWARDED AT HIGH YIELD 85 PCT                     pct,                          2         Positive

6       COMMODORE CBU, ATARI IN SETTLEMENT                                                                       in                            1         Neutral
6       COMMODORE CBU, ATARI IN SETTLEMENT                                                                       cbu,                          1         Neutral
6       COMMODORE CBU, ATARI IN SETTLEMENT                                                                       atari                         1         Neutral
6       COMMODORE CBU, ATARI IN SETTLEMENT                                                                       commodore                     1         Neutral
6       COMMODORE CBU, ATARI IN SETTLEMENT                                                                       settlement                    1         Neutral

7       BALDRIGE SUPPORTS NIC TALKS ON CURRENCIES                                                                talks                         1         Neutral
7       BALDRIGE SUPPORTS NIC TALKS ON CURRENCIES                                                                supports                      1         Positive
7       BALDRIGE SUPPORTS NIC TALKS ON CURRENCIES                                                                nic                           1         Positive
7       BALDRIGE SUPPORTS NIC TALKS ON CURRENCIES                                                                baldrige                      1         Positive
7       BALDRIGE SUPPORTS NIC TALKS ON CURRENCIES                                                                on                            1         Positive
7       BALDRIGE SUPPORTS NIC TALKS ON CURRENCIES                                                                currencies                    1         Positive

8       TRIANGLE TRI BEGINS EXCHANGE OFFER                                                                       begins                        1         Neutral
8       TRIANGLE TRI BEGINS EXCHANGE OFFER                                                                       offer                         1         Neutral
8       TRIANGLE TRI BEGINS EXCHANGE OFFER                                                                       tri                           1         Neutral
8       TRIANGLE TRI BEGINS EXCHANGE OFFER                                                                       exchange                      1         Neutral
8       TRIANGLE TRI BEGINS EXCHANGE OFFER                                                                       triangle                      1         Neutral

9       SOUTHMARK SM UNIT IN PUBLIC OFFERING OF STOCK                                                            southmark                     1         Neutral
9       SOUTHMARK SM UNIT IN PUBLIC OFFERING OF STOCK                                                            unit                          1         Neutral
9       SOUTHMARK SM UNIT IN PUBLIC OFFERING OF STOCK                                                            public                        1         Neutral
9       SOUTHMARK SM UNIT IN PUBLIC OFFERING OF STOCK                                                            in                            1         Neutral
9       SOUTHMARK SM UNIT IN PUBLIC OFFERING OF STOCK                                                            offering                      1         Neutral
9       SOUTHMARK SM UNIT IN PUBLIC OFFERING OF STOCK                                                            of                            1         Neutral
9       SOUTHMARK SM UNIT IN PUBLIC OFFERING OF STOCK                                                            sm                            1         Neutral
9       SOUTHMARK SM UNIT IN PUBLIC OFFERING OF STOCK                                                            stock                         1         Neutral

10       EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC                                 in                            1         Neutral
10       EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC                                 icn                           1         Neutral
10       EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC                                 and                           1         Neutral
10       EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC                                 sell                          1         Neutral
10       EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC                                 viratek                       1         Neutral
10       EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC                                 eastman                       1         Neutral
10       EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC                                 to                            1         Neutral
10       EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC                                 holdings                      1         Neutral
10       EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC                                 co                            1         Neutral
10       EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC                                 pharmaceuticals               1         Neutral
10       EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC                                 kodak                         1         Neutral
10       EASTMAN KODAK CO TO SELL HOLDINGS IN ICN PHARMACEUTICALS AND VIRATEK INC                                 inc                           1         Neutral

11       FEUD PERSISTS AT U.S. HOUSE BUDGET COMMITTTEE                                                            feud                          1         Neutral
11       FEUD PERSISTS AT U.S. HOUSE BUDGET COMMITTTEE                                                            u.s.                          1         Neutral
11       FEUD PERSISTS AT U.S. HOUSE BUDGET COMMITTTEE                                                            at                            1         Neutral
11       FEUD PERSISTS AT U.S. HOUSE BUDGET COMMITTTEE                                                            committtee                    1         Neutral
11       FEUD PERSISTS AT U.S. HOUSE BUDGET COMMITTTEE                                                            persists                      1         Neutral
11       FEUD PERSISTS AT U.S. HOUSE BUDGET COMMITTTEE                                                            house                         1         Neutral
11       FEUD PERSISTS AT U.S. HOUSE BUDGET COMMITTTEE                                                            budget                        1         Neutral

12       TREASURY BALANCES AT FED ROSE ON MARCH 23                                                                23                            1         Neutral
12       TREASURY BALANCES AT FED ROSE ON MARCH 23                                                                balances                      1         Neutral
12       TREASURY BALANCES AT FED ROSE ON MARCH 23                                                                at                            1         Neutral
12       TREASURY BALANCES AT FED ROSE ON MARCH 23                                                                fed                           1         Neutral
12       TREASURY BALANCES AT FED ROSE ON MARCH 23                                                                treasury                      1         Neutral
12       TREASURY BALANCES AT FED ROSE ON MARCH 23                                                                rose                          1         Neutral
12       TREASURY BALANCES AT FED ROSE ON MARCH 23                                                                march                         1         Neutral
12       TREASURY BALANCES AT FED ROSE ON MARCH 23                                                                on                            1         Neutral

13       FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID                                                         system                        1         Neutral
13       FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID                                                         dlrs                          1         Neutral
13       FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID                                                         800                           1         Neutral
13       FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID                                                         farm                          1         Neutral
13       FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID                                                         needing                       1         Neutral
13       FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID                                                         credit                        1         Neutral
13       FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID                                                         aid                           1         Neutral
13       FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID                                                         seen                          1         Neutral
13       FARM CREDIT SYSTEM SEEN NEEDING 800 MLN DLRS AID                                                         mln                           1         Neutral

14       USX X USS UNIT RAISES PRICES                                                                             unit                          1         Neutral
14       USX X USS UNIT RAISES PRICES                                                                             uss                           1         Neutral
14       USX X USS UNIT RAISES PRICES                                                                             raises                        1         Neutral
14       USX X USS UNIT RAISES PRICES                                                                             x                             1         Neutral
14       USX X USS UNIT RAISES PRICES                                                                             usx                           1         Neutral
14       USX X USS UNIT RAISES PRICES                                                                             prices                        1         Neutral

15       UNIONIST URGES RETALIATION AGAINST JAPAN                                                                 japan                         1         Neutral
15       UNIONIST URGES RETALIATION AGAINST JAPAN                                                                 against                       1         Neutral
15       UNIONIST URGES RETALIATION AGAINST JAPAN                                                                 unionist                      1         Neutral
15       UNIONIST URGES RETALIATION AGAINST JAPAN                                                                 retaliation                   1         Neutral
15       UNIONIST URGES RETALIATION AGAINST JAPAN                                                                 urges                         1         Neutral

16       EXXON (XON) GETS 99.2 MLN DLR CONTRACT                                                                   (xon)                         1         Neutral
16       EXXON (XON) GETS 99.2 MLN DLR CONTRACT                                                                   exxon                         1         Neutral
16       EXXON (XON) GETS 99.2 MLN DLR CONTRACT                                                                   contract                      1         Neutral
16       EXXON (XON) GETS 99.2 MLN DLR CONTRACT                                                                   dlr                           1         Neutral
16       EXXON (XON) GETS 99.2 MLN DLR CONTRACT                                                                   gets                          1         Neutral
16       EXXON (XON) GETS 99.2 MLN DLR CONTRACT                                                                   99.2                          1         Neutral
16       EXXON (XON) GETS 99.2 MLN DLR CONTRACT                                                                   mln                           1         Neutral

17       EATON (ETN) GETS 53.0 MLN DLR CONTRACT                                                                   (etn)                         1         Neutral
17       EATON (ETN) GETS 53.0 MLN DLR CONTRACT                                                                   contract                      1         Neutral
17       EATON (ETN) GETS 53.0 MLN DLR CONTRACT                                                                   53.0                          1         Neutral
17       EATON (ETN) GETS 53.0 MLN DLR CONTRACT                                                                   eaton                         1         Neutral
17       EATON (ETN) GETS 53.0 MLN DLR CONTRACT                                                                   dlr                           1         Neutral
17       EATON (ETN) GETS 53.0 MLN DLR CONTRACT                                                                   gets                          1         Neutral
17       EATON (ETN) GETS 53.0 MLN DLR CONTRACT                                                                   mln                           1         Neutral

18       ZAIRE AUTHORIZED TO BUY PL 480 RICE - USDA                                                               zaire                         1         Neutral
18       ZAIRE AUTHORIZED TO BUY PL 480 RICE - USDA                                                               authorized                    1         Neutral
18       ZAIRE AUTHORIZED TO BUY PL 480 RICE - USDA                                                               buy                           1         Neutral
18       ZAIRE AUTHORIZED TO BUY PL 480 RICE - USDA                                                               to                            1         Neutral
18       ZAIRE AUTHORIZED TO BUY PL 480 RICE - USDA                                                               pl                            1         Neutral
18       ZAIRE AUTHORIZED TO BUY PL 480 RICE - USDA                                                               480                           1         Neutral
18       ZAIRE AUTHORIZED TO BUY PL 480 RICE - USDA                                                               rice                          1         Neutral
18       ZAIRE AUTHORIZED TO BUY PL 480 RICE - USDA                                                               -                             1         Neutral
18       ZAIRE AUTHORIZED TO BUY PL 480 RICE - USDA                                                               usda                          1         Neutral

19       MCDONNELL DOUGLAS GETS 30.6 MLN DLR CONTRACT                                                             30.6                          1         Neutral
19       MCDONNELL DOUGLAS GETS 30.6 MLN DLR CONTRACT                                                             mcdonnell                     1         Neutral
19       MCDONNELL DOUGLAS GETS 30.6 MLN DLR CONTRACT                                                             contract                      1         Neutral
19       MCDONNELL DOUGLAS GETS 30.6 MLN DLR CONTRACT                                                             douglas                       1         Neutral
19       MCDONNELL DOUGLAS GETS 30.6 MLN DLR CONTRACT                                                             dlr                           1         Neutral
19       MCDONNELL DOUGLAS GETS 30.6 MLN DLR CONTRACT                                                             gets                          1         Neutral
19       MCDONNELL DOUGLAS GETS 30.6 MLN DLR CONTRACT                                                             mln                           1         Neutral

20       MIDIVEST ACQUIRES ASSETS OF BUSINESS AVIATION                                                            midivest                      1         Neutral
20       MIDIVEST ACQUIRES ASSETS OF BUSINESS AVIATION                                                            assets                        1         Neutral
20       MIDIVEST ACQUIRES ASSETS OF BUSINESS AVIATION                                                            business                      1         Neutral
20       MIDIVEST ACQUIRES ASSETS OF BUSINESS AVIATION                                                            of                            1         Neutral
20       MIDIVEST ACQUIRES ASSETS OF BUSINESS AVIATION                                                            aviation                      1         Neutral
20       MIDIVEST ACQUIRES ASSETS OF BUSINESS AVIATION                                                            acquires                      1         Neutral

21       U.S. WHEAT CREDITS FOR JORDAN SWITCHED                                                                   u.s.                          1         Neutral
21       U.S. WHEAT CREDITS FOR JORDAN SWITCHED                                                                   credits                       1         Neutral
21       U.S. WHEAT CREDITS FOR JORDAN SWITCHED                                                                   jordan                        1         Neutral
21       U.S. WHEAT CREDITS FOR JORDAN SWITCHED                                                                   for                           1         Neutral
21       U.S. WHEAT CREDITS FOR JORDAN SWITCHED                                                                   switched                      1         Neutral
21       U.S. WHEAT CREDITS FOR JORDAN SWITCHED                                                                   wheat                         1         Neutral

22       DOLLAR EXPECTED TO FALL DESPITE INTERVENTION                                                             fall                          1         Negative
22       DOLLAR EXPECTED TO FALL DESPITE INTERVENTION                                                             expected                      1         Negative
22       DOLLAR EXPECTED TO FALL DESPITE INTERVENTION                                                             to                            1         Negative
22       DOLLAR EXPECTED TO FALL DESPITE INTERVENTION                                                             intervention                  1         Negative
22       DOLLAR EXPECTED TO FALL DESPITE INTERVENTION                                                             despite                       1         Negative
22       DOLLAR EXPECTED TO FALL DESPITE INTERVENTION                                                             dollar                        1         Negative

23       U.S. TO SELL 12.8 BILLION DLRS IN BILLS                                                                  u.s.                          1         Neutral
23       U.S. TO SELL 12.8 BILLION DLRS IN BILLS                                                                  billion                       1         Neutral
23       U.S. TO SELL 12.8 BILLION DLRS IN BILLS                                                                  in                            1         Neutral
23       U.S. TO SELL 12.8 BILLION DLRS IN BILLS                                                                  dlrs                          1         Neutral
23       U.S. TO SELL 12.8 BILLION DLRS IN BILLS                                                                  sell                          1         Neutral
23       U.S. TO SELL 12.8 BILLION DLRS IN BILLS                                                                  bills                         1         Neutral
23       U.S. TO SELL 12.8 BILLION DLRS IN BILLS                                                                  to                            1         Neutral
23       U.S. TO SELL 12.8 BILLION DLRS IN BILLS                                                                  12.8                          1         Neutral

24       INLAND STEEL IAD TO BUILD NEW PLANT IN INDIANA                                                           steel                         1         Neutral
24       INLAND STEEL IAD TO BUILD NEW PLANT IN INDIANA                                                           new                           1         Neutral
24       INLAND STEEL IAD TO BUILD NEW PLANT IN INDIANA                                                           build                         1         Neutral
24       INLAND STEEL IAD TO BUILD NEW PLANT IN INDIANA                                                           in                            1         Neutral
24       INLAND STEEL IAD TO BUILD NEW PLANT IN INDIANA                                                           plant                         1         Neutral
24       INLAND STEEL IAD TO BUILD NEW PLANT IN INDIANA                                                           to                            1         Neutral
24       INLAND STEEL IAD TO BUILD NEW PLANT IN INDIANA                                                           inland                        1         Neutral
24       INLAND STEEL IAD TO BUILD NEW PLANT IN INDIANA                                                           iad                           1         Neutral
24       INLAND STEEL IAD TO BUILD NEW PLANT IN INDIANA                                                           indiana                       1         Neutral

25       EASTMAN KODAK EK TO SELL HOLDINGS                                                                        ek                            1         Neutral
25       EASTMAN KODAK EK TO SELL HOLDINGS                                                                        sell                          1         Neutral
25       EASTMAN KODAK EK TO SELL HOLDINGS                                                                        eastman                       1         Neutral
25       EASTMAN KODAK EK TO SELL HOLDINGS                                                                        to                            1         Neutral
25       EASTMAN KODAK EK TO SELL HOLDINGS                                                                        holdings                      1         Neutral
25       EASTMAN KODAK EK TO SELL HOLDINGS                                                                        kodak                         1         Neutral

26       GUINNESS SUES BOESKY IN FEDERAL COURT                                                                    in                            1         Neutral
26       GUINNESS SUES BOESKY IN FEDERAL COURT                                                                    sues                          1         Negative
26       GUINNESS SUES BOESKY IN FEDERAL COURT                                                                    federal                       1         Negative
26       GUINNESS SUES BOESKY IN FEDERAL COURT                                                                    guinness                      1         Negative
26       GUINNESS SUES BOESKY IN FEDERAL COURT                                                                    court                         1         Negative
26       GUINNESS SUES BOESKY IN FEDERAL COURT                                                                    boesky                        1         Negative

27       FIRM REDUCES SCEPTRE RESOURCES SRL HOLDINGS                                                              firm                          1         Neutral
27       FIRM REDUCES SCEPTRE RESOURCES SRL HOLDINGS                                                              resources                     1         Neutral
27       FIRM REDUCES SCEPTRE RESOURCES SRL HOLDINGS                                                              reduces                       1         Neutral
27       FIRM REDUCES SCEPTRE RESOURCES SRL HOLDINGS                                                              holdings                      1         Neutral
27       FIRM REDUCES SCEPTRE RESOURCES SRL HOLDINGS                                                              sceptre                       1         Neutral
27       FIRM REDUCES SCEPTRE RESOURCES SRL HOLDINGS                                                              srl                           1         Neutral

28       GENCORP BOARD WITHDRAWS PROPOSALS TO STAGGER DIRECTORS TERMS                                             gencorp                       1         Neutral
28       GENCORP BOARD WITHDRAWS PROPOSALS TO STAGGER DIRECTORS TERMS                                             withdraws                     1         Neutral
28       GENCORP BOARD WITHDRAWS PROPOSALS TO STAGGER DIRECTORS TERMS                                             terms                         1         Neutral
28       GENCORP BOARD WITHDRAWS PROPOSALS TO STAGGER DIRECTORS TERMS                                             directors                     1         Neutral
28       GENCORP BOARD WITHDRAWS PROPOSALS TO STAGGER DIRECTORS TERMS                                             proposals                     1         Neutral
28       GENCORP BOARD WITHDRAWS PROPOSALS TO STAGGER DIRECTORS TERMS                                             to                            1         Neutral
28       GENCORP BOARD WITHDRAWS PROPOSALS TO STAGGER DIRECTORS TERMS                                             stagger                       1         Neutral
28       GENCORP BOARD WITHDRAWS PROPOSALS TO STAGGER DIRECTORS TERMS                                             board                         1         Neutral

29       ACKLANDS LTD 1ST QTR FEB 28 NET                                                                          1st                           1         Neutral
29       ACKLANDS LTD 1ST QTR FEB 28 NET                                                                          feb                           1         Neutral
29       ACKLANDS LTD 1ST QTR FEB 28 NET                                                                          28                            1         Neutral
29       ACKLANDS LTD 1ST QTR FEB 28 NET                                                                          net                           1         Neutral
29       ACKLANDS LTD 1ST QTR FEB 28 NET                                                                          ltd                           1         Neutral
29       ACKLANDS LTD 1ST QTR FEB 28 NET                                                                          acklands                      1         Neutral
29       ACKLANDS LTD 1ST QTR FEB 28 NET                                                                          qtr                           1         Neutral

30       BULL AND BEAR GROUP A BNBGA CUTS FUND PAYOUTS                                                            payouts                       1         Neutral
30       BULL AND BEAR GROUP A BNBGA CUTS FUND PAYOUTS                                                            a                             1         Neutral
30       BULL AND BEAR GROUP A BNBGA CUTS FUND PAYOUTS                                                            fund                          1         Neutral
30       BULL AND BEAR GROUP A BNBGA CUTS FUND PAYOUTS                                                            and                           1         Neutral
30       BULL AND BEAR GROUP A BNBGA CUTS FUND PAYOUTS                                                            bnbga                         1         Neutral
30       BULL AND BEAR GROUP A BNBGA CUTS FUND PAYOUTS                                                            bear                          1         Neutral
30       BULL AND BEAR GROUP A BNBGA CUTS FUND PAYOUTS                                                            bull                          1         Neutral
30       BULL AND BEAR GROUP A BNBGA CUTS FUND PAYOUTS                                                            group                         1         Neutral
30       BULL AND BEAR GROUP A BNBGA CUTS FUND PAYOUTS                                                            cuts                          1         Neutral

31       CALTEX TO RAISE BAHRAIN OIL PRODUCT PRICES                                                               caltex                        1         Neutral
31       CALTEX TO RAISE BAHRAIN OIL PRODUCT PRICES                                                               product                       1         Neutral
31       CALTEX TO RAISE BAHRAIN OIL PRODUCT PRICES                                                               oil                           1         Neutral
31       CALTEX TO RAISE BAHRAIN OIL PRODUCT PRICES                                                               raise                         1         Neutral
31       CALTEX TO RAISE BAHRAIN OIL PRODUCT PRICES                                                               bahrain                       1         Neutral
31       CALTEX TO RAISE BAHRAIN OIL PRODUCT PRICES                                                               to                            1         Neutral
31       CALTEX TO RAISE BAHRAIN OIL PRODUCT PRICES                                                               prices                        1         Neutral

32       CHARTER CO QCHR TO COMPLETE REORGANIZATION                                                               charter                       1         Neutral
32       CHARTER CO QCHR TO COMPLETE REORGANIZATION                                                               qchr                          1         Neutral
32       CHARTER CO QCHR TO COMPLETE REORGANIZATION                                                               to                            1         Neutral
32       CHARTER CO QCHR TO COMPLETE REORGANIZATION                                                               co                            1         Neutral
32       CHARTER CO QCHR TO COMPLETE REORGANIZATION                                                               complete                      1         Neutral
32       CHARTER CO QCHR TO COMPLETE REORGANIZATION                                                               reorganization                1         Neutral

33       NASHUA NSH TO PURCHASE PRIVATE DISC MAKER                                                                nsh                           1         Neutral
33       NASHUA NSH TO PURCHASE PRIVATE DISC MAKER                                                                private                       1         Neutral
33       NASHUA NSH TO PURCHASE PRIVATE DISC MAKER                                                                nashua                        1         Neutral
33       NASHUA NSH TO PURCHASE PRIVATE DISC MAKER                                                                purchase                      1         Neutral
33       NASHUA NSH TO PURCHASE PRIVATE DISC MAKER                                                                maker                         1         Neutral
33       NASHUA NSH TO PURCHASE PRIVATE DISC MAKER                                                                disc                          1         Neutral
33       NASHUA NSH TO PURCHASE PRIVATE DISC MAKER                                                                to                            1         Neutral

34       ALTRON INC ALRN 4TH QTR JAN 3                                                                            3                             1         Neutral
34       ALTRON INC ALRN 4TH QTR JAN 3                                                                            altron                        1         Neutral
34       ALTRON INC ALRN 4TH QTR JAN 3                                                                            jan                           1         Neutral
34       ALTRON INC ALRN 4TH QTR JAN 3                                                                            4th                           1         Neutral
34       ALTRON INC ALRN 4TH QTR JAN 3                                                                            alrn                          1         Neutral
34       ALTRON INC ALRN 4TH QTR JAN 3                                                                            qtr                           1         Neutral
34       ALTRON INC ALRN 4TH QTR JAN 3                                                                            inc                           1         Neutral

35       COLLINS FOODS CF MOVES UP WARRANT CONVERSION                                                             cf                            1         Neutral
35       COLLINS FOODS CF MOVES UP WARRANT CONVERSION                                                             foods                         1         Neutral
35       COLLINS FOODS CF MOVES UP WARRANT CONVERSION                                                             collins                       1         Neutral
35       COLLINS FOODS CF MOVES UP WARRANT CONVERSION                                                             moves                         1         Neutral
35       COLLINS FOODS CF MOVES UP WARRANT CONVERSION                                                             warrant                       1         Neutral
35       COLLINS FOODS CF MOVES UP WARRANT CONVERSION                                                             up                            1         Neutral
35       COLLINS FOODS CF MOVES UP WARRANT CONVERSION                                                             conversion                    1         Neutral

36       GENCORP GY PROPOSALS WITHDRAWN FROM MEETING                                                              gencorp                       1         Neutral
36       GENCORP GY PROPOSALS WITHDRAWN FROM MEETING                                                              gy                            1         Neutral
36       GENCORP GY PROPOSALS WITHDRAWN FROM MEETING                                                              withdrawn                     1         Neutral
36       GENCORP GY PROPOSALS WITHDRAWN FROM MEETING                                                              from                          1         Neutral
36       GENCORP GY PROPOSALS WITHDRAWN FROM MEETING                                                              proposals                     1         Neutral
36       GENCORP GY PROPOSALS WITHDRAWN FROM MEETING                                                              meeting                       1         Neutral

37       WEEKLY ELECTRIC OUTPUT UP 2.4 PCT FROM 1986                                                              output                        1         Neutral
37       WEEKLY ELECTRIC OUTPUT UP 2.4 PCT FROM 1986                                                              pct                           1         Neutral
37       WEEKLY ELECTRIC OUTPUT UP 2.4 PCT FROM 1986                                                              1986                          1         Neutral
37       WEEKLY ELECTRIC OUTPUT UP 2.4 PCT FROM 1986                                                              electric                      1         Neutral
